year;month;day;hour;stid;x;y;z;yo;
 2014;06;01;1;4825;293417;6650726;145;NA;
 2014;06;01;1;4040;283905;6629974;164;NA;
 2014;06;01;1;17640;275695;6629176;130;NA;
 2014;06;01;1;4090;273189;6648787;227;NA;
 2014;06;01;1;4110;275288;6652231;231;NA;
 2014;06;01;1;4200;278919;6654781;108;9.4;
 2014;06;01;1;4260;275585;6655730;143;10.1;
 2014;06;01;1;18280;272915;6656898;225;NA;
 2014;06;01;1;4460;268279;6671793;170;7.6;
 2014;06;01;1;4725;284568;6676425;203;NA;
 2014;06;01;1;4780;282812;6680860;202;9.7;
 2014;06;01;1;4781;282365;6678855;202;NA;
 2014;06;01;1;4920;299664;6671003;160;8.1;
 2014;06;01;1;4950;305372;6672927;145;NA;
 2014;06;01;1;4960;305275;6686545;130;NA;
 2014;06;01;1;11120;287828;6690857;181;NA;
 2014;06;01;1;11125;286404;6689433;180;NA;
 2014;06;01;1;11440;288995;6723060;140;NA;
 2014;06;01;1;11450;292300;6701236;160;9.5;
 2014;06;01;1;11463;292340;6701646;150;NA;
 2014;06;01;1;4740;280981;6677364;187;NA;
 2014;06;01;1;17980;266048;6641271;92;NA;
 2014;06;01;1;18020;264179;6645365;135;NA;
 2014;06;01;1;18160;264449;6644756;118;NA;
 2014;06;01;1;18162;264395;6648310;15;NA;
 2014;06;01;1;18165;265178;6647311;130;NA;
 2014;06;01;1;18170;267156;6647097;123;NA;
 2014;06;01;1;18180;267807;6648340;176;NA;
 2014;06;01;1;18195;266339;6648019;80;NA;
 2014;06;01;1;18205;264787;6650954;88;NA;
 2014;06;01;1;18210;265518;6650271;100;NA;
 2014;06;01;1;18215;267118;6651208;155;NA;
 2014;06;01;1;18225;267097;6652817;204;NA;
 2014;06;01;1;18230;267290;6650639;90;12.5;
 2014;06;01;1;18233;268975;6652487;120;NA;
 2014;06;01;1;18235;270853;6652057;160;NA;
 2014;06;01;1;18240;270450;6651614;160;NA;
 2014;06;01;1;18245;269702;6654719;201;NA;
 2014;06;01;1;18260;272476;6652493;181;NA;
